dma_name,dma_id,term,week,score,rank,percent_gain,refresh_date
Miami-Ft. Lauderdale FL,528,argentina vs peru,2021-07-04,4,24,140,2024-11-22
Wilkes Barre-Scranton PA,577,argentina vs peru,2024-11-17,39,24,140,2024-11-22
Providence-New Bedford MA,521,argentina vs peru,2024-06-30,100,24,140,2024-11-22
Grand Junction-Montrose CO,773,argentina vs peru,2023-08-13,100,24,140,2024-11-22
Burlington VT-Plattsburgh NY,523,argentina vs peru,2024-11-17,27,24,140,2024-11-22
Columbus-Tupelo-West Point MS,673,argentina vs peru,2024-11-17,9,24,140,2024-11-22
Tallahassee FL-Thomasville GA,530,argentina vs peru,2024-11-17,33,24,140,2024-11-22
Huntsville-Decatur (Florence) AL,691,argentina vs peru,2022-11-06,100,24,140,2024-11-22
Greenville-New Bern-Washington NC,545,argentina vs peru,2024-11-17,21,24,140,2024-11-22
Greenville-New Bern-Washington NC,545,argentina vs peru,2021-07-25,100,24,140,2024-11-22
San Francisco-Oakland-San Jose CA,807,argentina vs peru,2024-11-10,1,24,140,2024-11-22
San Francisco-Oakland-San Jose CA,807,argentina vs peru,2021-10-10,39,24,140,2024-11-22
San Francisco-Oakland-San Jose CA,807,argentina vs peru,2023-10-15,53,24,140,2024-11-22
San Francisco-Oakland-San Jose CA,807,argentina vs peru,2020-11-15,16,24,140,2024-11-22
San Francisco-Oakland-San Jose CA,807,argentina vs peru,2024-11-17,51,24,140,2024-11-22
San Francisco-Oakland-San Jose CA,807,argentina vs peru,2024-06-23,32,24,140,2024-11-22
Johnstown-Altoona-State College PA,574,argentina vs peru,2024-11-17,100,24,140,2024-11-22
Orlando-Daytona Beach-Melbourne FL,534,argentina vs peru,2024-06-30,100,24,140,2024-11-22
Orlando-Daytona Beach-Melbourne FL,534,argentina vs peru,2024-11-10,1,24,140,2024-11-22
Orlando-Daytona Beach-Melbourne FL,534,argentina vs peru,2024-06-23,46,24,140,2024-11-22
Grand Rapids-Kalamazoo-Battle Creek MI,563,argentina vs peru,2020-08-02,91,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-07-04,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-12-04,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-01-29,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-12-13,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-04-24,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-07-07,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-11-14,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-09-24,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-11-15,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-10-03,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-06-13,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-10-06,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2019-12-01,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-03-14,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-04-16,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-04-28,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-03-08,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-02-21,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-01-08,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-05-07,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-01-03,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-11-05,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-11-12,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-06-27,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-03-20,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-07-24,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-09-04,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-08-08,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-05-14,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-09-22,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-08-30,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-01-10,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-05-29,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-02-26,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-03-26,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-10-23,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-10-01,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2019-11-17,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-11-03,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-03-01,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-03-24,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-08-18,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-12-26,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-07-16,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-05-05,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-11-29,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-05-23,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-01-30,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-04-02,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-12-10,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-08-25,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-10-13,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-12-05,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-06-21,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-09-13,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-09-19,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-05-09,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-05-21,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-04-26,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-12-19,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-05-01,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-09-11,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-02-18,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-04-07,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-08-16,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-10-18,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-05-30,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-05-28,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-06-04,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-09-20,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-06-06,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-07-23,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-11-08,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-12-31,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-11-22,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-09-26,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-02-04,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2024-05-19,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-07-25,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-11-28,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-10-09,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-07-30,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-01-02,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-11-19,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-09-06,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-08-27,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-02-14,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-10-17,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-05-22,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-08-23,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2020-12-27,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-01-31,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-02-13,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2022-10-02,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-11-26,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2023-09-17,,24,140,2024-11-22
Bend OR,821,argentina vs peru,2021-03-28,,24,140,2024-11-22
